Claim,Subsection,label,deepset/gbert-base,deepset/gbert-large,deepset/gelectra-base,deepset/gelectra-large
"Bars, Clubs, Diskotheken, Kneipen und ähnliche Einrichtungen müssen geschlossen werden. Ausgenommen sind die Lieferung und Abholung von Speisen für den Verzehr zu Hause.","Tanzlustbarkeiten und ähnliche Unternehmen im Sinne der Gewerbeordnung in der Fassung der Bekanntmachung vom 22. Februar 1999 (BGBl. I S. 202), die zuletzt durch Artikel 5 des Gesetzes vom 19. Juni 2020 (BGBl. I S. 1403) geändert worden ist, dürfen nicht für den Publikumsverkehr geöffnet werden.",True,0,1,1,1
"Bars, Clubs, Diskotheken, Kneipen und ähnliche Einrichtungen müssen geschlossen werden. Ausgenommen sind die Lieferung und Abholung von Speisen für den Verzehr zu Hause.","Die jeweils zuständige Senatsverwaltung kann im Einvernehmen mit der für Gesundheit zuständigen Senatsverwaltung in einem bereichsspezifischen Hygienerahmenkonzept Näheres zu den Anforderungen an das Schutz- und Hygienekonzept nach Absatz 2, einschließlich Vorgaben zu Auslastungsgrenzen, Zutritts- und Besuchsregelungen, bestimmen. Die jeweils zuständige Senatsverwaltung wird ermächtigt, im Einvernehmen mit der für Gesundheit zuständigen Senatsverwaltung, Bestimmungen nach Satz 1 auch durch Rechtsverordnung nach Maßgabe des § 32 Satz 1 des Infektionsschutzgesetzes zu treffen.",False,0,0,0,0
"Bars, Clubs, Diskotheken, Kneipen und ähnliche Einrichtungen müssen geschlossen werden. Ausgenommen sind die Lieferung und Abholung von Speisen für den Verzehr zu Hause.","Gaststätten mit der besonderen Betriebsart Diskotheken und ähnliche Betriebe im Sinne des Gaststättengesetzes in der Fassung der Bekanntmachung vom 20. November 1998 (BGBl. I S. 3418), das zuletzt durch Artikel 14 des Gesetzes vom 10. März 2017 (BGBl. I S. 420) geändert worden ist, dürfen in geschlossenen Räumen nicht für den Publikumsverkehr geöffnet werden. Sie dürfen Speisen und Getränke zum Verzehr an Ort und Stelle, zur Abholung oder zur Lieferung anbieten. Auch in anderen Gaststätten sind Tanzveranstaltungen nicht zulässig.",True,1,1,1,1
"Bars, Clubs, Diskotheken, Kneipen und ähnliche Einrichtungen müssen geschlossen werden. Ausgenommen sind die Lieferung und Abholung von Speisen für den Verzehr zu Hause.","Die Vorgabe zur Reservierung von intensivmedizinischen Betten mit maschineller Beatmungsmöglichkeit verpflichtet Notfallkrankenhäuser und Notfallzentren, der festgelegten Reservierungsquote entsprechende Betten ausschließlich mit an Covid-19 erkrankten Patientinnen oder Patienten zu belegen.",False,0,0,0,0
"Bars, Clubs, Diskotheken, Kneipen und ähnliche Einrichtungen müssen geschlossen werden. Ausgenommen sind die Lieferung und Abholung von Speisen für den Verzehr zu Hause.","Gaststätten im Sinne des Gaststättengesetzes in der Fassung der Bekanntmachung vom 20. November 1998 (BGBl. I S. 3418), das zuletzt durch Artikel 14 des Gesetzes vom 10. März 2017 (BGBl. I S. 420) geändert worden ist, dürfen nicht für den Publikumsverkehr geöffnet werden. Sie dürfen Speisen und Getränke zur Abholung oder zur Lieferung anbieten. Für die Abholung sind geeignete Vorkehrungen zur Steuerung der Kaufabwicklung und zur Vermeidung von Menschenansammlungen zu treffen. Satz 1 gilt nicht für den Betrieb von Kantinen.",True,1,1,1,1
"Bars, Clubs, Diskotheken, Kneipen und ähnliche Einrichtungen müssen geschlossen werden. Ausgenommen sind die Lieferung und Abholung von Speisen für den Verzehr zu Hause.",Die Notfallkrankenhäuser und Notfallzentren sind zur intensivmedizinischen Behandlung von an Covid-19 erkrankten Patientinnen und Patienten in drei Level eingeteilt. Die Einteilung ergibt sich aus der Anlage zu dieser Verordnung.,False,0,0,0,0
Bei Spielen des Profi-Fußballs dürfen keine Zuschauer in die Stadien.,"Der professionelle sportliche Wettkampfbetrieb in der Bundesliga und den internationalen Ligen sowie vergleichbaren professionellen Wettkampfsystemen ist zulässig, soweit er im Rahmen eines Nutzungs- und Hygienekonzeptes des jeweiligen Sportfachverbandes stattfindet. Zuschauende sind untersagt. Satz 2 gilt nicht für die für den Spielbetrieb erforderlichen Personen.",True,1,1,1,1
Bei Spielen des Profi-Fußballs dürfen keine Zuschauer in die Stadien.,"Zugelassene Krankenhäuser dürfen planbare Aufnahmen, Operationen und Eingriffe unter der Voraussetzung durchführen, dass Reservierungs- und Freihaltevorgaben eingehalten werden und notwendige Personalressourcen und Schutzausrüstungen vorhanden sind.",False,0,0,0,0
Auch Bordelle und andere Prostitutionsstätten sollen geschlossen werden.,"Prostitutionsgewerbe im Sinne des Prostituiertenschutzgesetzes vom 21. Oktober 2016 (BGBl. I S. 2372), das durch Artikel 57 des Gesetzes vom 20. November 2019 (BGBl. I S. 1626) geändert worden ist, dürfen weder für den Publikumsverkehr geöffnet werden, noch ihre Dienste außerhalb ihrer Betriebsstätte erbringen. Die Erbringung und Inanspruchnahme sexueller Dienstleistungen mit Körperkontakt und erotische Massagen sind untersagt.",True,1,1,1,1
Auch Bordelle und andere Prostitutionsstätten sollen geschlossen werden.,"Die Vorgabe zur Reservierung von intensivmedizinischen Betten mit maschineller Beatmungsmöglichkeit verpflichtet Notfallkrankenhäuser und Notfallzentren, der festgelegten Reservierungsquote entsprechende Betten ausschließlich mit an Covid-19 erkrankten Patientinnen oder Patienten zu belegen.",False,0,0,0,0
"Theater, Opern oder Konzerthäuser müssen schließen. Dies gilt auch für Messen, Kinos, Freizeitparks, Spielhallen, Spielbanken und Wettannahmeeinrichtungen.","Kinos, Theater, Opern, Konzerthäuser, Museen, Gedenkstätten und kulturelle Veranstaltungsstätten in öffentlicher und privater Trägerschaft dürfen nicht für den Publikumsverkehr geöffnet werden. Der Leihbetrieb von Bibliotheken ist zulässig.",True,1,1,1,1
"Theater, Opern oder Konzerthäuser müssen schließen. Dies gilt auch für Messen, Kinos, Freizeitparks, Spielhallen, Spielbanken und Wettannahmeeinrichtungen.",Über Absatz 4 hinausgehende Ausnahmen können in einem bereichsspezifischen Hygienerahmenkonzept nach § 2 Absatz 3 bestimmt werden.,False,0,0,0,0
"Theater, Opern oder Konzerthäuser müssen schließen. Dies gilt auch für Messen, Kinos, Freizeitparks, Spielhallen, Spielbanken und Wettannahmeeinrichtungen.","Vergnügungsstätten im Sinne der Baunutzungsverordnung in der Fassung der Bekanntmachung vom 21. November 2017 (BGBl. I S. 3786), Freizeitparks, Betriebe für Freizeitaktivitäten sowie Spielhallen, Spielbanken, Wettvermittlungsstellen und ähnliche Betriebe dürfen nicht für den Publikumsverkehr geöffnet werden.",True,1,1,1,1
"Theater, Opern oder Konzerthäuser müssen schließen. Dies gilt auch für Messen, Kinos, Freizeitparks, Spielhallen, Spielbanken und Wettannahmeeinrichtungen.","Die Leitung des Krankenhauses kann im Rahmen einer Gefährdungsabschätzung für die Patientinnen und Patienten mit Genehmigung des jeweils zuständigen Gesundheitsamtes für einzelne Stationen oder Bereiche des Krankenhauses die Besuchsregelung nach § 3 Absatz 1 und Absatz 2, soweit Schwerstkranke betroffen sind, und nach § 4 einschränken oder ein Besuchsverbot festlegen. Maßnahmen nach Satz 1 sind an den einschlägigen Empfehlungen des Robert Koch-Instituts zu orientieren, dürfen nur zeitlich befristet erfolgen und sind gegenüber der zuständigen Aufsichtsbehörde anzuzeigen.",False,0,0,0,0
"Theater, Opern oder Konzerthäuser müssen schließen. Dies gilt auch für Messen, Kinos, Freizeitparks, Spielhallen, Spielbanken und Wettannahmeeinrichtungen.","Abweichend von Absatz 1 und 2 sind Konzerte, Theater-, Oper- und Konzerthausaufführungen, musikalische und künstlerische Darbietungen vor körperlich anwesendem Publikum einschließlich Tanzveranstaltungen und Veranstaltungen, die dem Kultur-, Freizeit- oder Unterhaltungsbereich zuzuordnen sind, verboten.",True,1,1,1,1
"Theater, Opern oder Konzerthäuser müssen schließen. Dies gilt auch für Messen, Kinos, Freizeitparks, Spielhallen, Spielbanken und Wettannahmeeinrichtungen.",Die Notfallkrankenhäuser und Notfallzentren der Level 1 und 2 übernehmen vorrangig die intensivmedizinische Behandlung von an Covid-19 erkrankten Patientinnen und Patienten.,False,0,0,0,0
"Einzelhandelsgeschäfte bleiben unter Auflagen zur Hygiene, zur Steuerung des Zutritts und zur Vermeidung von Warteschlangen insgesamt ebenfalls geöffnet. Es müsse aber sichergestellt werden, dass sich in den Geschäften nicht mehr als ein Kunde pro 10 Quadratmeter aufhalte.","Die Verantwortlichen für Veranstaltungen, in Betrieben und anderen Einrichtungen, insbesondere Unternehmen, Gaststätten, Hotels, Verkaufsstellen, Kultur- und Bildungseinrichtungen, Stiftungen, Informations- und Beratungsstellen, Bildungsangebote, Eingliederungsmaßnahmen nach dem Sozialgesetzbuch, öffentlich geförderten Einrichtungen, Projekte und Maßnahmen sowie für Vereine, Sportstätten, Krankenhäuser, Arztpraxen, Pflegeeinrichtungen einschließlich ambulanter Pflegedienste und entgelt- und zuwendungsfinanzierte Angebote haben entsprechend der spezifischen Anforderungen des jeweiligen Angebots ein individuelles Schutz- und Hygienekonzept zu erstellen und auf Verlangen der zuständigen Behörde vorzulegen. Die nach Satz 1 Verantwortlichen stellen die Einhaltung der in dem Schutz- und Hygienekonzept festgelegten Schutzmaßnahmen sicher. Für private Veranstaltungen und Zusammenkünfte im Sinne des § 6 Absatz 4 im Freien gilt unbeschadet Satz 1 die Pflicht zur Erstellung eines individuellen Schutz- und Hygienekonzeptes und dessen Vorlage auf Verlangen bei mehr als 20 zeitgleich anwesenden Personen.",True,0,0,1,1
"Einzelhandelsgeschäfte bleiben unter Auflagen zur Hygiene, zur Steuerung des Zutritts und zur Vermeidung von Warteschlangen insgesamt ebenfalls geöffnet. Es müsse aber sichergestellt werden, dass sich in den Geschäften nicht mehr als ein Kunde pro 10 Quadratmeter aufhalte.","Zugelassene Krankenhäuser sind verpflichtet, Fallzahlen und Belegungsdaten gemäß § 8 Absatz 5 des Rettungsdienstgesetzes vom 8. Juli 1993, das zuletzt durch Artikel 1 des Gesetzes vom 20. September 2016 (GVBl. S. 762) geändert worden ist, über den Interdisziplinären Versorgungsnachweis (IVENA) täglich bis 12 Uhr zu melden.",False,0,0,0,0
Nur noch Angehörige des eigenen und eines weiteren Hausstandes dürfen sich gemeinsam in der Öffentlichkeit aufhalten dürfen.,"Der Aufenthalt im öffentlichen Raum im Freien, insbesondere auf Straßen, Wegen, Plätzen und in Grünanlagen ist nur allein, im Kreise der in § 1 Absatz 3 genannten Personen oder für Angehörige des eigenen Haushaltes und zwei weitere Personen aus verschiedenen Haushalten oder Angehörige eines weiteren Haushaltes gestattet; es gilt eine Personenobergrenze von höchstens zehn zeitgleich anwesenden Personen. Satz 1 gilt nicht für Kinder bis zur Vollendung des 12. Lebensjahres aus einer gemeinsamen Betreuungs- oder Unterrichtsgruppe.",True,1,1,1,1
Nur noch Angehörige des eigenen und eines weiteren Hausstandes dürfen sich gemeinsam in der Öffentlichkeit aufhalten dürfen.,"Die Reservierungs- und Freihaltequoten beziehen sich auf die bis zum 6. Februar 2020 bestehenden und die bis zum 30. September 2020 gemäß § 21 des Krankenhausfinanzierungsgesetzes in der Fassung der Bekanntmachung vom 10. April 1991 (BGBl. I S. 886), das zuletzt durch Artikel 8 des Gesetzes vom 14. Oktober 2020 (BGBl. I S. 2115) geändert worden ist, geschaffenen intensivmedizinischen Betten mit maschineller Beatmungsmöglichkeit.",False,0,0,0,0
Touristische Übernachtungen im Inland sind verboten,"Touristische Übernachtungen in Hotels, anderen Beherbergungsbetrieben oder in Ferienwohnungen sind untersagt.",True,1,1,1,1
Touristische Übernachtungen im Inland sind verboten,"Absatz 4 gilt nicht 1. für Aufenthalte im öffentlichen Raum zum Zweck der Berichterstattung durch Vertreterinnen und Vertreter von Presse, Rundfunk, Film oder anderen Medien, 2. für die Ausübung beruflicher, mandatsbezogener oder ehrenamtlicher Tätigkeiten, einschließlich der jahreszeitlich bedingt erforderlichen Bewirtschaftung landwirtschaftlicher, gartenbaulicher und forstwirtschaftlicher Flächen und für politische Werbung durch nicht mehr als zwei Personen gegenüber Einzelpersonen oder einzelnen Personengruppen im Sinne von Absatz 3 um die Unterstützung von Parteien und Wählergemeinschaften sowie von Volksbegehren, Volksinitiativen, Bürgerbegehren und Einwohneranträgen, 3. für die Benutzung des öffentlichen Personennahverkehrs, von Eisenbahnen und Flugzeugen, Fähren, Fahrgastschiffen und von Kraftfahrzeugen, mit denen eine entgeltliche oder geschäftsmäßige Beförderung erfolgt oder die zu beruflichen und dienstlichen Zwecken von Mitarbeitenden gemeinsam genutzt werden müssen, 4. für die Durchführung von pädagogisch begleiteten Außenaktivitäten von öffentlichen Schulen und Schulen in freier Trägerschaft einschließlich der Einrichtungen des Zweiten Bildungsweges sowie freier Einrichtungen im Sinne des Schulgesetzes vom 26. Januar 2004 (GVBl. S. 26), das zuletzt durch Artikel 35 des Gesetzes vom 12. Oktober 2020 (GVBl. S. 807) geändert worden ist, von Tageseinrichtungen und Angeboten der Kindertagespflege im Sinne des Kindertagesförderungsgesetzes vom 23. Juni 2005 (GVBl. S. 322), das zuletzt durch Artikel 30 des Gesetzes vom 12. Oktober 2020 (GVBl. S. 807) geändert worden ist, sowie im Rahmen privat organisierter Kinderbetreuung sowie von Angeboten der Jugendhilfe, 5. für wohnungslose Menschen, soweit und sofern sie nicht kommunal oder ordnungsrechtlich untergebracht sind und die Personenobergrenze von höchstens zehn zeitgleich anwesenden Personen nicht überschritten wird, 6. für die Erbringung von Leistungen der Eingliederungshilfe.",False,1,0,1,1
"Individualsport, wie beispielsweise Joggen, ist jedoch erlaubt.","Sport darf vorbehaltlich des Satzes 2 nur alleine oder mit einer anderen Person kontaktfrei und unter Einhaltung der Abstandsregelungen nach § 1 Absatz 2 erfolgen. Für folgende Personengruppen gilt die Beschränkung des Satz 1 nicht: a) für den Personenkreis gemäß § 1 Absatz 3, b) für Bundes- und Landeskaderathletinnen und -athleten, Profiligen und Berufssportlerinnen und Berufssportler, c) für Kinder im Alter von bis zu 12 Jahren, wenn der Sport im Freien in festen Gruppen von maximal 10 anwesenden Personen zuzüglich einer betreuenden Person ausgeübt wird und d) für ärztlich verordneten Rehabilitationssport oder ärztlich verordnetes Funktionstraining im Sinne des § 64 Absatz 1 Nummer 3 und 4 des Neunten Buches Sozialgesetzbuch vom 23. Dezember 2016 (BGBl. I S. 3234), das zuletzt durch Artikel 3 Absatz 6 des Gesetzes vom 9. Oktober 2020 (BGBl. I S. 2075) geändert worden ist, in festen Gruppen von bis zu höchstens zehn Personen zuzüglich einer übungsleitenden Person; bei besonderen im Einzelfall zu begründenden Härtefällen ist die Beteiligung weiterer Personen zulässig, soweit dies zwingend notwendig ist, um den Teilnehmenden die Ausübung des Rehabilitationssports oder Funktionstrainings zu ermöglichen. Die Verantwortlichen sind verpflichtet vor Beginn der Sporteinheit auf die Einhaltung des Schutz- und Hygienekonzepts nach § 2 Absatz 1 hinzuweisen und für dessen Umsetzung Sorge zu tragen. Regelungen über den Sport an öffentlichen Schulen und Schulen in freier Trägerschaft, an Einrichtungen der Berufsbildung sowie als studienbezogener Lehrbetrieb der Hochschulen gehen diesem Absatz und Absatz 7a vor.",True,1,1,1,1
"Individualsport, wie beispielsweise Joggen, ist jedoch erlaubt.","Diese Verordnung trifft Vorgaben für ein Schutz- und Hygienekonzept für die öffentlichen Schulen und Ersatzschulen in freier Trägerschaft einschließlich der Einrichtungen des Zweiten Bildungswegs im Sinne des Schulgesetzes vom 26. Januar 2004 (GVBl. S. 26), das zuletzt durch Artikel 35 des Gesetzes vom 12. Oktober 2020 (GVBl. S. 807) geändert worden ist, in der jeweils geltenden Fassung (im Folgenden: Schulen). Die Vorgaben beziehen sich auf den Unterricht, die außerunterrichtliche und die ergänzende Förderung und Betreuung und das Mittagessen.",False,0,0,0,0
"Der Profisport, etwa die Bundesliga, muss ohne Zuschauer*innen stattfinden.","Der professionelle sportliche Wettkampfbetrieb in der Bundesliga und den internationalen Ligen sowie vergleichbaren professionellen Wettkampfsystemen ist zulässig, soweit er im Rahmen eines Nutzungs- und Hygienekonzeptes des jeweiligen Sportfachverbandes stattfindet. Zuschauende sind untersagt. Satz 2 gilt nicht für die für den Spielbetrieb erforderlichen Personen.",True,1,1,1,1
"Der Profisport, etwa die Bundesliga, muss ohne Zuschauer*innen stattfinden.","Diese Verordnung tritt am Tag nach der Verkündung im Gesetz- und Verordnungsblatt für Berlin in Kraft; sie tritt mit Ablauf des Tages des Außerkrafttretens der SARS-CoV-2-Infektionsschutzverordnung außer Kraft. Berlin, den 24. November 2020 Senatsverwaltung für Bildung, Sandra Scheeres",False,0,0,0,0
"Geschäfte im Groß- und Einzelhandel dürfen offen bleiben, allerdings darf sich auf einer Verkaufsfläche von bis zu 800 Quadratmetern nicht mehr als ein*e Kund*in auf einer Fläche von zehn Quadratmetern aufhalten. Läden, die über 800 Quadratmeter Verkaufsfläche haben, müssen dafür Sorge tragen, dass sich nur eine Person auf 20 Quadratmetern aufhält.","Bei der Öffnung von Verkaufsstellen, Kaufhäusern und Einkaufszentren (Malls) gilt für die Steuerung des Zutritts und zur Sicherung des Mindestabstandes ein Richtwert für die maximal zulässige Anzahl von Kundinnen und Kunden je Verkaufsfläche oder Geschäftsraum. Bei Geschäften mit einer Verkaufsfläche von bis zu 800 Quadratmetern gilt ein Richtwert von insgesamt höchstens einer Kundin oder einem Kunden pro 10 Quadratmetern Verkaufsfläche. Bei Geschäften mit einer Verkaufsfläche ab 801 Quadratmetern insgesamt gilt auf einer Fläche von 800 Quadratmetern ein Richtwert von höchstens einer Kundin oder einem Kunden pro 10 Quadratmetern Verkaufsfläche und auf der 800 Quadratmeter übersteigenden Fläche von höchstens einer Kundin oder einem Kunden pro 20 Quadratmeter Verkaufsfläche. Für Einkaufszentren ist die jeweilige Gesamtverkaufsfläche maßgeblich. Unterschreiten die Verkaufsfläche oder der Geschäftsraum eine Größe von 20 Quadratmetern, darf jeweils höchstens eine Kundin oder ein Kunde eingelassen werden. Aufenthaltsanreize dürfen nicht geschaffen werden. Insbesondere sind die Verkehrsflächen von Verkaufsständen freizuhalten. § 1 Absatz 4 gilt entsprechend.",True,1,1,1,1
"Geschäfte im Groß- und Einzelhandel dürfen offen bleiben, allerdings darf sich auf einer Verkaufsfläche von bis zu 800 Quadratmetern nicht mehr als ein*e Kund*in auf einer Fläche von zehn Quadratmetern aufhalten. Läden, die über 800 Quadratmeter Verkaufsfläche haben, müssen dafür Sorge tragen, dass sich nur eine Person auf 20 Quadratmetern aufhält.","Anwesende Personen wie Teilnehmerinnen und Teilnehmer, Gäste, Besucherinnen und Besucher, Kundinnen und Kunden oder Nutzerinnen und Nutzer sind verpflichtet, die Angaben nach Absatz 2 Satz 1 vollständig und wahrheitsgemäß zu machen.",False,1,0,1,0
"Friseursalons dürfen offen bleiben und auch medizinisch notwendige Behandlungen, etwa Physiotherapie, dürfen weiterhin vorgenommen werden.","Dienstleistungsgewerbe im Bereich der Körperpflege wie Kosmetikstudios, Massagepraxen, Tattoo-Studios und ähnliche Betriebe dürfen weder für den Publikumsverkehr geöffnet werden noch ihre Dienste anbieten. Satz 1 gilt nicht für Friseurbetriebe und medizinisch notwendige Behandlungen, insbesondere Physio-, Ergo- und Logotherapie, Podologie, Fußpflege und Heilpraktiker.",True,1,1,1,1
"Friseursalons dürfen offen bleiben und auch medizinisch notwendige Behandlungen, etwa Physiotherapie, dürfen weiterhin vorgenommen werden.","Diese Verordnung tritt am Tag nach der Verkündung im Gesetz- und Verordnungsblatt für Berlin in Kraft; sie tritt am Tag des Außerkrafttretens der SARS-CoV-2-Infektionsschutzverordnung in der jeweils geltenden Fassung außer Kraft. Die für Gesundheit zuständige Senatsverwaltung veranlasst die Bekanntmachung des Tages des Außerkrafttretens im Gesetz- und Verordnungsblatt für Berlin. Berlin, den 3. November 2020 Senatsverwaltung für Gesundheit, Dilek Kalayci",False,0,0,0,0
"So müssen Kosmetikstudios, Massagepraxen oder Tattoo-Studios schließen.","Dienstleistungsgewerbe im Bereich der Körperpflege wie Kosmetikstudios, Massagepraxen, Tattoo-Studios und ähnliche Betriebe dürfen weder für den Publikumsverkehr geöffnet werden noch ihre Dienste anbieten. Satz 1 gilt nicht für Friseurbetriebe und medizinisch notwendige Behandlungen, insbesondere Physio-, Ergo- und Logotherapie, Podologie, Fußpflege und Heilpraktiker.",True,1,1,1,1
"So müssen Kosmetikstudios, Massagepraxen oder Tattoo-Studios schließen.","Diese Verordnung trifft Vorgaben für ein Schutz- und Hygienekonzept für die öffentlichen Schulen und Ersatzschulen in freier Trägerschaft einschließlich der Einrichtungen des Zweiten Bildungswegs im Sinne des Schulgesetzes vom 26. Januar 2004 (GVBl. S. 26), das zuletzt durch Artikel 35 des Gesetzes vom 12. Oktober 2020 (GVBl. S. 807) geändert worden ist, in der jeweils geltenden Fassung (im Folgenden: Schulen). Die Vorgaben beziehen sich auf den Unterricht, die außerunterrichtliche und die ergänzende Förderung und Betreuung und das Mittagessen.",False,0,0,0,0
"Theater, Kinos, Opern und Konzerthäuser sowie Museen und Galerien müssen ebenso weiterhin geschlossen bleiben. Auch Messen, Freizeitparks und Spielhallen sind betroffen.","Kinos, Theater, Opern, Konzerthäuser, Museen, Gedenkstätten und kulturelle Veranstaltungsstätten in öffentlicher und privater Trägerschaft dürfen nicht für den Publikumsverkehr geöffnet werden. Der Leihbetrieb von Bibliotheken ist zulässig.",True,1,1,1,1
"Theater, Kinos, Opern und Konzerthäuser sowie Museen und Galerien müssen ebenso weiterhin geschlossen bleiben. Auch Messen, Freizeitparks und Spielhallen sind betroffen.","Durch diese Verordnung werden die Grundrechte der Freiheit der Person (Artikel 2 Absatz 2 Satz 2 des Grundgesetzes), der Versammlungsfreiheit (Artikel 8 Absatz 1 des Grundgesetzes), der Freizügigkeit (Artikel 11 Absatz 1 des Grundgesetzes) und der Unverletzlichkeit der Wohnung (Artikel 13 des Grundgesetzes) eingeschränkt.",False,0,0,0,0
"Restaurants, Cafés, Gaststätten, Bars und Kneipen müssen weiterhin geschlossen bleiben, es dürfen keine Gäste empfangen werden. Außer-Haus-Lieferungen und Abholungen von Speisen für den Verzehr zu Hause sind aber gestattet.","Gaststätten mit der besonderen Betriebsart Diskotheken und ähnliche Betriebe im Sinne des Gaststättengesetzes in der Fassung der Bekanntmachung vom 20. November 1998 (BGBl. I S. 3418), das zuletzt durch Artikel 14 des Gesetzes vom 10. März 2017 (BGBl. I S. 420) geändert worden ist, dürfen nicht für den Publikumsverkehr geöffnet werden. Sie dürfen Speisen und Getränke zur Abholung oder zur Lieferung anbieten. Für die Abholung sind geeignete Vorkehrungen zur Steuerung der Kaufabwicklung und zur Vermeidung von Menschenansammlungen zu treffen. Auch in anderen Gaststätten sind Tanzveranstaltungen nicht zulässig.",True,1,1,1,1
"Restaurants, Cafés, Gaststätten, Bars und Kneipen müssen weiterhin geschlossen bleiben, es dürfen keine Gäste empfangen werden. Außer-Haus-Lieferungen und Abholungen von Speisen für den Verzehr zu Hause sind aber gestattet.","Die Verantwortlichen im Sinne des Absatz 1 haben anwesenden Personen, die unvollständige oder offensichtlich falsche Angaben machen, den Zutritt oder den weiteren Verbleib zu verwehren.",False,0,0,1,0
"Schon länger gilt die Maskenpflicht auf großen Einkaufsstraßen und belebten Plätzen. Dazu zählen die Bergmannstraße, die Friedrichstraße, der Ku'damm, die Karl-Marx-Straße, die Wilmersdorfer Straße, die Tauentzienstraße, die Wilmersdorfer Straße, der Kurfürstendamm, die Altstadt Spandau, die Schloßstraße, die Bölschestraße sowie die Alte Schönhauser Straße. Ebenso: der Rosa-Luxemburg-Platz, der Rosenthaler Platz, der Alexanderplatz, die Rathausstraße, der Bebelplatz, der Hackescher Markt, der Lustgarten, der Leipziger Platz, der Pariser Platz, Unter den Linden und Karl-Liebknecht Straße, der Potsdamer Platz, der Washingtonplatz/Europaplatz, die Turmstraße, das Kottbusser Tor, der Lausitzer Platz, der Boxhagener Platz, der Hermannplatz und die Hermannstraße, die Sonnenallee, der Breitscheidplatz, der Hardenbergplatz, der Olympischer Platz und der Wittenbergplatz.","Jede Person ist angehalten, eine Mund-Nasen-Bedeckung im öffentlichen Raum im Freien an Orten zu tragen, an denen der Mindestabstand nach § 1 Absatz 2 Satz 1 in der Regel nicht eingehalten werden kann, insbesondere in Einkaufsstraßen und anderen belebten Straßen und Plätzen. Eine Mund-Nasen-Bedeckung ist zu tragen 1. auf Märkten, 2. in Warteschlangen, 3. auf Parkplätzen, 4. in den in der Anlage zu dieser Verordnung genannten Bereichen und 5. unbeschadet der Nummer 4 auf Gehwegen vor Gebäuden, in denen sich vom Gehweg aus direkt zu betretende Einzelhandelsgeschäfte, Dienstleistungs- und Handwerksbetriebe befinden. Satz 2 gilt nicht während der Nutzung von Fahrzeugen außerhalb von Fußgängerbereichen; für die Nutzung geschlossener Fahrzeuge gilt Absatz 1 Nummer 1.",True,1,1,1,1
"Schon länger gilt die Maskenpflicht auf großen Einkaufsstraßen und belebten Plätzen. Dazu zählen die Bergmannstraße, die Friedrichstraße, der Ku'damm, die Karl-Marx-Straße, die Wilmersdorfer Straße, die Tauentzienstraße, die Wilmersdorfer Straße, der Kurfürstendamm, die Altstadt Spandau, die Schloßstraße, die Bölschestraße sowie die Alte Schönhauser Straße. Ebenso: der Rosa-Luxemburg-Platz, der Rosenthaler Platz, der Alexanderplatz, die Rathausstraße, der Bebelplatz, der Hackescher Markt, der Lustgarten, der Leipziger Platz, der Pariser Platz, Unter den Linden und Karl-Liebknecht Straße, der Potsdamer Platz, der Washingtonplatz/Europaplatz, die Turmstraße, das Kottbusser Tor, der Lausitzer Platz, der Boxhagener Platz, der Hermannplatz und die Hermannstraße, die Sonnenallee, der Breitscheidplatz, der Hardenbergplatz, der Olympischer Platz und der Wittenbergplatz.",Besuche durch mit der Seelsorge betrauten Personen und durch Urkundspersonen sind stets zulässig. Gleiches gilt für gesetzlich vorgesehene Anhörungen.,False,0,0,0,0
"Das Tragen einer Mund-Nasen-Bedeckung ist überall dort Pflicht, wo das Einhalten von Abständen nicht möglich ist, zum Beispiel auf Märkten, auf Parkplätzen, in Warteschlange oder vor Geschäften.","Jede Person ist angehalten, eine Mund-Nasen-Bedeckung im öffentlichen Raum im Freien an Orten zu tragen, an denen der Mindestabstand nach § 1 Absatz 2 Satz 1 in der Regel nicht eingehalten werden kann, insbesondere in Einkaufsstraßen und anderen belebten Straßen und Plätzen. Eine Mund-Nasen-Bedeckung ist zu tragen 1. auf Märkten, 2. in Warteschlangen, 3. auf Parkplätzen, 4. in den in der Anlage zu dieser Verordnung genannten Bereichen und 5. unbeschadet der Nummer 4 auf Gehwegen vor Gebäuden, in denen sich vom Gehweg aus direkt zu betretende Einzelhandelsgeschäfte, Dienstleistungs- und Handwerksbetriebe befinden. Satz 2 gilt nicht während der Nutzung von Fahrzeugen außerhalb von Fußgängerbereichen; für die Nutzung geschlossener Fahrzeuge gilt Absatz 1 Nummer 1.",True,1,1,1,1
